import time: self [us] | cumulative | imported package
import time:       221 |       3341 |                     pydantic.v1.error_wrappers
import time:       389 |        389 |                     pydantic.v1.fields
import time:       174 |        174 |                           _compat_pickle
import time:        60 |         60 |                           _pickle
import time:       681 |        914 |                         pickle
import time:       176 |       1089 |                       pydantic.v1.parse
import time:       387 |        387 |                       pydantic.v1.schema
import time:       619 |       2094 |                     pydantic.v1.main
import time:       305 |       8579 |                   pydantic.v1.dataclasses
import time:       110 |        110 |                   pydantic.v1.annotated_types
import time:       162 |        162 |                   pydantic.v1.decorator
import time:       387 |        387 |                   pydantic.v1.env_settings
import time:       137 |        137 |                   pydantic.v1.tools
import time:       166 |       9537 |                 pydantic.v1
import time:       934 |      10684 |               langchain_core.utils.pydantic
import time:       254 |      48399 |             langchain_core.utils.utils
import time:       111 |      49328 |           langchain_core.messages
import time:       103 |        103 |               xml
import time:       128 |        128 |                 xml.sax.handler
import time:       117 |        117 |                 xml.sax._exceptions
import time:       225 |        469 |               xml.sax.xmlreader
import time:       152 |        723 |             xml.sax
import time:       157 |        879 |           xml.sax.saxutils
import time:       747 |        747 |           langchain_core.exceptions
import time:       408 |        408 |                       langchain_core.load.serializable
import time:        96 |        504 |                     langchain_core.load._validation
import time:       149 |        149 |                     langchain_core.load.mapping
import time:       330 |        982 |                   langchain_core.load.load
import time:        94 |       1076 |                 langchain_core.load
import time:        11 |       1086 |               langchain_core.load.serializable
import time:        83 |         83 |               langchain_core.utils._merge
import time:        62 |         62 |               langchain_core.utils.interactive_env
import time:      1560 |       2789 |             langchain_core.messages.base
import time:      1453 |       1453 |             langchain_core.messages.tool
import time:       174 |        174 |             langchain_core.utils.json
import time:        82 |         82 |             langchain_core.utils.usage
import time:      4458 |       8956 |           langchain_core.messages.ai
import time:       228 |        228 |               langchain_core.messages.block_translators.anthropic
import time:       105 |        105 |               langchain_core.messages.block_translators.bedrock
import time:       120 |        120 |               langchain_core.messages.block_translators.bedrock_converse
import time:        61 |         61 |                 filetype
import time:       144 |        204 |               langchain_core.messages.block_translators.google_genai
import time:        68 |         68 |               langchain_core.messages.block_translators.google_vertexai
import time:       109 |        109 |               langchain_core.messages.block_translators.groq
import time:       241 |        241 |                     langchain_core.language_models._utils
import time:       108 |        348 |                   langchain_core.language_models
import time:         9 |        357 |                 langchain_core.language_models._utils
import time:       205 |        561 |               langchain_core.messages.block_translators.openai
import time:       195 |       1586 |             langchain_core.messages.block_translators
import time:        14 |       1600 |           langchain_core.messages.block_translators.openai
import time:      1137 |       1137 |           langchain_core.messages.chat
import time:       764 |        764 |           langchain_core.messages.function
import time:       763 |        763 |           langchain_core.messages.human
import time:       413 |        413 |           langchain_core.messages.modifier
import time:       739 |        739 |           langchain_core.messages.system
import time:       103 |        103 |             langchain_core.utils.json_schema
import time:       375 |        477 |           langchain_core.utils.function_calling
import time:        85 |         85 |               langchain_core.documents
import time:        99 |         99 |                 langchain_core.runnables
import time:       101 |        101 |                       concurrent
import time:       574 |        574 |                       concurrent.futures._base
import time:       137 |        811 |                     concurrent.futures
import time:       183 |        183 |                     asyncio.constants
import time:        99 |         99 |                     asyncio.coroutines
import time:        94 |         94 |                       asyncio.format_helpers
import time:        87 |         87 |                         asyncio.base_futures
import time:       117 |        117 |                         asyncio.exceptions
import time:        82 |         82 |                         asyncio.base_tasks
import time:        86 |        371 |                       _asyncio
import time:       367 |        831 |                     asyncio.events
import time:       142 |        142 |                     asyncio.futures
import time:       116 |        116 |                     asyncio.protocols
import time:       157 |        157 |                       asyncio.transports
import time:        68 |         68 |                       asyncio.log
import time:       358 |        582 |                     asyncio.sslproto
import time:        73 |         73 |                         asyncio.mixins
import time:       263 |        335 |                       asyncio.locks
import time:       150 |        150 |                         asyncio.queues
import time:       239 |        239 |                         asyncio.timeouts
import time:       438 |        826 |                       asyncio.tasks
import time:       115 |       1276 |                     asyncio.staggered
import time:       103 |        103 |                     asyncio.trsock
import time:       600 |       4738 |                   asyncio.base_events
import time:       176 |        176 |                   asyncio.runners
import time:       214 |        214 |                   asyncio.streams
import time:       138 |        138 |                   asyncio.subprocess
import time:       125 |        125 |                   asyncio.taskgroups
import time:        65 |         65 |                   asyncio.threads
import time:       160 |        160 |                     asyncio.base_subprocess
import time:       301 |        301 |                     asyncio.selector_events
import time:       417 |        877 |                   asyncio.unix_events
import time:       173 |       6505 |                 asyncio
import time:       148 |        148 |                 concurrent.futures.thread
import time:       169 |        169 |                   langchain_core.callbacks
import time:       464 |        464 |                   langchain_core.callbacks.base
import time:       129 |        129 |                   langchain_core.callbacks.stdout
import time:       130 |        130 |                   langchain_core.globals
import time:        25 |         25 |                   langchain_core.messages.get_buffer_string
import time:       847 |       1762 |                 langchain_core.callbacks.manager
import time:       234 |       8745 |               langchain_core.runnables.config
import time:       398 |       9228 |             langchain_text_splitters.base
import time:       144 |       9371 |           langchain_text_splitters
import time:        87 |         87 |               langchain_core.utils.env
import time:       774 |        774 |                     uuid_utils._uuid_utils
import time:       132 |        906 |                   uuid_utils
import time:       112 |       1017 |                 uuid_utils.compat
import time:        80 |       1096 |               langchain_core.utils.uuid
import time:       470 |       1652 |             langchain_core.callbacks.manager
import time:      3393 |       3393 |               langchain_core.runnables.utils
import time:       266 |       3659 |             langchain_core.runnables.config
import time:       142 |        142 |               langchain_core.tracers
import time:       217 |        359 |             langchain_core.tracers._streaming
import time:        92 |         92 |               langchain_core.outputs
import time:       782 |        782 |               langchain_core.outputs.generation
import time:       224 |        224 |               langchain_core.outputs.run_info
import time:       244 |        244 |               langchain_core.runnables.schema
import time:       228 |        228 |                 pprint
import time:       254 |        254 |                   jsonpointer
import time:       314 |        567 |                 jsonpatch
import time:       294 |        294 |                       langsmith
import time:       244 |        244 |                           langsmith._internal
import time:       596 |        839 |                         langsmith._internal._context
import time:     29197 |      29197 |                         langsmith.schemas
import time:       154 |        154 |                             httpx.__version__
import time:       287 |        287 |                                   httpx._exceptions
import time:       478 |        478 |                                         httpx._types
import time:       129 |        129 |                                         httpx._utils
import time:       308 |        914 |                                       httpx._multipart
import time:       175 |       1088 |                                     httpx._content
import time:        65 |         65 |                                       brotli
import time:        46 |         46 |                                       brotlicffi
import time:       741 |        741 |                                         zstandard.backend_c
import time:       343 |       1084 |                                       zstandard
import time:       243 |       1436 |                                     httpx._decoders
import time:       525 |        525 |                                     httpx._status_codes
import time:       818 |        818 |                                       httpx._urlparse
import time:       253 |       1070 |                                     httpx._urls
import time:       622 |       4739 |                                   httpx._models
import time:       429 |       5454 |                                 httpx._auth
import time:       175 |        175 |                                 httpx._config
import time:       232 |        232 |                                       httpx._transports.base
import time:       370 |        602 |                                     httpx._transports.asgi
import time:       294 |        294 |                                     httpx._transports.default
import time:       339 |        339 |                                     httpx._transports.mock
import time:       137 |        137 |                                     httpx._transports.wsgi
import time:       122 |       1492 |                                   httpx._transports
import time:        16 |       1508 |                                 httpx._transports.base
import time:       454 |       7590 |                               httpx._client
import time:       137 |       7726 |                             httpx._api
import time:       130 |        130 |                                 pygments
import time:       993 |        993 |                                 pygments.lexers._mapping
import time:       190 |        190 |                                 pygments.modeline
import time:        89 |         89 |                                 pygments.plugin
import time:       364 |        364 |                                 pygments.util
import time:       239 |       2002 |                               pygments.lexers
import time:       165 |        165 |                                   rich._extension
import time:       228 |        392 |                                 rich
import time:       126 |        126 |                                 rich._null_file
import time:       115 |        115 |                                 rich.errors
import time:       184 |        184 |                                             rich.color_triplet
import time:       118 |        301 |                                           rich.palette
import time:        81 |        382 |                                         rich._palettes
import time:       176 |        176 |                                         rich.repr
import time:       115 |        115 |                                         rich.terminal_theme
import time:       769 |       1440 |                                       rich.color
import time:       340 |       1780 |                                     rich.style
import time:       319 |       2098 |                                   rich.default_styles
import time:       149 |        149 |                                   rich.theme
import time:        91 |       2337 |                                 rich.themes
import time:       153 |        153 |                                 rich._emoji_replace
import time:        68 |         68 |                                 rich._export_format
import time:        68 |         68 |                                 rich._fileno
import time:        99 |         99 |                                     rich._loop
import time:        63 |         63 |                                     rich._pick
import time:       127 |        127 |                                           rich._unicode_data._versions
import time:       113 |        239 |                                         rich._unicode_data
import time:       320 |        559 |                                       rich.cells
import time:       110 |        668 |                                     rich._wrap
import time:       600 |        600 |                                           rich.segment
